Sample,Round,Depth,Date,Lake,Location,Parasite,Concentration,ConcentrationLog10Plus1
B12B9,12,9,11/10/21,Bishop,Basin,Blastulidium,30573,4.485352261
B12B10,12,10,11/10/21,Bishop,Basin,Blastulidium,16600.15,4.220138174
B12B11,12,11,11/10/21,Bishop,Basin,Blastulidium,5039.6,3.702482235
B12B12,12,12,11/10/21,Bishop,Basin,Blastulidium,2055.4,3.313107595
B12B13,12,13,11/10/21,Bishop,Basin,Blastulidium,0,0
B12B14,12,14,11/10/21,Bishop,Basin,Blastulidium,410.65,2.61452812
B12B15,12,15,11/10/21,Bishop,Basin,Blastulidium,0,0
B12B16,12,16,11/10/21,Bishop,Basin,Blastulidium,204.25,2.312283166
B1B1,1,1,6/9/21,Bishop,Basin,Ordospora,204.25,2.312283166
B1B2,1,2,6/9/21,Bishop,Basin,Ordospora,0,0
B1B3,1,3,6/9/21,Bishop,Basin,Ordospora,103.2,2.017867719
B1B4,1,4,6/9/21,Bishop,Basin,Ordospora,307.45,2.489184775
B1B5,1,5,6/9/21,Bishop,Basin,Ordospora,103.2,2.017867719
B1B6,1,6,6/9/21,Bishop,Basin,Ordospora,410.65,2.61452812
B1B7,1,7,6/9/21,Bishop,Basin,Ordospora,0,0
B1B8,1,8,6/9/21,Bishop,Basin,Ordospora,103.2,2.017867719
B1B9,1,9,6/9/21,Bishop,Basin,Ordospora,513.85,2.711680717
B1B10,1,10,6/9/21,Bishop,Basin,Ordospora,0,0
B1B11,1,11,6/9/21,Bishop,Basin,Ordospora,103.2,2.017867719
B1B12,1,12,6/9/21,Bishop,Basin,Ordospora,103.2,2.017867719
B1B13,1,13,6/9/21,Bishop,Basin,Ordospora,0,0
B1B14,1,14,6/9/21,Bishop,Basin,Ordospora,0,0
B1B15,1,15,6/9/21,Bishop,Basin,Ordospora,103.2,2.017867719
B2B1,2,1,6/23/21,Bishop,Basin,Ordospora,0,0
B2B2,2,2,6/23/21,Bishop,Basin,Ordospora,206.4,2.316808752
B2B3,2,3,6/23/21,Bishop,Basin,Ordospora,103.2,2.017867719
B2B4,2,4,6/23/21,Bishop,Basin,Ordospora,103.2,2.017867719
B2B5,2,5,6/23/21,Bishop,Basin,Ordospora,0,0
B2B6,2,6,6/23/21,Bishop,Basin,Ordospora,0,0
B2B7,2,7,6/23/21,Bishop,Basin,Ordospora,0,0
B2B8,2,8,6/23/21,Bishop,Basin,Ordospora,0,0
B2B9,2,9,6/23/21,Bishop,Basin,Ordospora,103.2,2.017867719
B2B10,2,10,6/23/21,Bishop,Basin,Ordospora,103.2,2.017867719
B2B11,2,11,6/23/21,Bishop,Basin,Ordospora,0,0
B2B12,2,12,6/23/21,Bishop,Basin,Ordospora,0,0
B2B13,2,13,6/23/21,Bishop,Basin,Ordospora,103.2,2.017867719
B2B14,2,14,6/23/21,Bishop,Basin,Ordospora,103.2,2.017867719
B2B15,2,15,6/23/21,Bishop,Basin,Ordospora,0,0
B2B16,2,16,6/23/21,Bishop,Basin,Ordospora,206.4,2.316808752
B3B1,3,1,7/7/21,Bishop,Basin,Ordospora,0,0
B3B2,3,2,7/7/21,Bishop,Basin,Ordospora,103.2,2.017867719
B3B3,3,3,7/7/21,Bishop,Basin,Ordospora,0,0
B3B4,3,4,7/7/21,Bishop,Basin,Ordospora,206.4,2.316808752
B3B5,3,5,7/7/21,Bishop,Basin,Ordospora,0,0
B3B6,3,6,7/7/21,Bishop,Basin,Ordospora,103.2,2.017867719
B3B7,3,7,7/7/21,Bishop,Basin,Ordospora,103.2,2.017867719
B3B8,3,8,7/7/21,Bishop,Basin,Ordospora,0,0
B3B9,3,9,7/7/21,Bishop,Basin,Ordospora,206.4,2.316808752
B3B10,3,10,7/7/21,Bishop,Basin,Ordospora,617.05,2.791023611
B3B11,3,11,7/7/21,Bishop,Basin,Ordospora,103.2,2.017867719
B3B12,3,12,7/7/21,Bishop,Basin,Ordospora,0,0
B3B13,3,13,7/7/21,Bishop,Basin,Ordospora,0,0
B3B14,3,14,7/7/21,Bishop,Basin,Ordospora,103.2,2.017867719
B3B15,3,15,7/7/21,Bishop,Basin,Ordospora,206.4,2.316808752
B4B1,4,1,7/21/21,Bishop,Basin,Ordospora,0,0
